Customer ID,Customer Type,Subscription Start,Subscription End,Monthly Subscription Cost (EUR)
49,Back to us,2023-06-18,2024-02-10,29.99
50,Back to us,2022-04-19,2023-02-08,29.99
51,Continue,2023-04-19,2023-08-14,29.99
52,Continue,2022-05-21,2022-09-11,29.99
53,Continue,2023-04-03,2023-07-09,29.99
54,New,2023-04-23,2023-12-04,9.99
55,Back to us,2022-12-08,2023-03-28,19.99
56,New,2023-03-22,2023-12-12,9.99
57,Continue,2022-05-11,2022-09-18,29.99
58,Back to us,2022-03-07,2022-05-01,9.99
59,Continue,2023-10-25,2024-07-08,29.99
60,Back to us,2023-02-24,2023-05-09,19.99
61,New,2022-07-11,2023-03-23,9.99
62,New,2023-03-07,2023-05-24,19.99
63,Continue,2022-09-07,2022-12-14,9.99
64,New,2022-06-18,2022-08-01,29.99
65,New,2023-04-26,2023-12-28,29.99
66,Back to us,2023-12-21,2024-06-03,9.99
67,Continue,2023-12-20,2024-03-04,9.99
68,New,2023-05-25,2024-02-21,19.99
69,Continue,2022-12-13,2023-08-28,19.99
70,New,2022-05-19,2023-03-02,29.99
71,Continue,2023-11-13,2024-03-21,19.99
72,Continue,2023-05-28,2023-09-15,19.99
73,Continue,2022-12-28,2023-10-16,29.99
74,Continue,2023-05-24,2023-10-10,29.99
75,Continue,2022-07-28,2023-02-01,9.99
76,New,2023-03-17,2023-08-31,19.99
77,Back to us,2023-01-26,2023-11-17,9.99
78,New,2022-05-07,2023-01-29,19.99
79,Back to us,2022-02-11,2022-11-08,29.99
80,New,2023-02-01,2023-05-12,29.99
81,Back to us,2023-03-04,2023-04-13,29.99
82,Continue,2022-05-17,2022-12-15,19.99
83,New,2022-02-22,2022-11-15,29.99
84,Continue,2023-02-02,2023-12-11,29.99
85,Continue,2022-05-02,2022-09-23,9.99
86,Back to us,2023-06-03,2024-01-05,9.99
87,Continue,2022-05-14,2023-03-31,19.99
88,New,2022-09-19,2023-02-03,29.99
89,Continue,2023-07-06,2024-04-19,19.99
90,Continue,2022-07-15,2022-10-04,19.99
91,Back to us,2022-01-01,2022-04-06,9.99
92,Continue,2022-07-19,2023-06-28,9.99
93,New,2022-01-28,2022-07-12,9.99
94,Continue,2023-09-04,2024-05-27,19.99
95,Back to us,2023-06-15,2023-10-24,29.99
96,New,2023-11-07,2023-12-23,9.99
97,Continue,2023-01-28,2023-10-01,9.99
98,New,2023-10-19,2024-01-10,9.99
99,Continue,2023-10-01,2024-05-30,29.99
100,New,2023-08-19,2024-05-03,19.99
101,Continue,2023-04-11,2023-09-17,19.99
102,Back to us,2022-11-08,2023-06-01,29.99
103,Continue,2022-07-11,2022-08-20,19.99
104,Continue,2023-08-18,2023-09-22,29.99
105,Back to us,2022-04-25,2022-10-14,9.99
106,Continue,2022-05-04,2022-10-26,29.99
107,Continue,2023-06-03,2023-10-05,19.99
108,Continue,2023-02-06,2023-03-23,9.99
109,Back to us,2023-11-25,2024-09-04,9.99
110,Continue,2023-01-22,2023-08-15,9.99
111,Continue,2023-06-22,2023-12-16,9.99
112,Continue,2022-07-21,2023-05-02,29.99
113,Continue,2022-04-24,2022-07-16,19.99
114,Back to us,2023-08-07,2024-02-05,19.99
115,Continue,2022-04-22,2022-07-10,9.99
116,Back to us,2023-08-28,2023-10-21,29.99
117,Continue,2023-09-05,2024-04-26,19.99
118,Continue,2022-02-09,2022-11-09,29.99
119,Continue,2022-08-20,2023-02-14,29.99
120,Continue,2022-09-10,2023-08-15,29.99
121,Continue,2022-03-02,2022-06-25,19.99
122,Continue,2022-04-16,2022-07-24,29.99
123,Continue,2023-03-19,2023-08-24,29.99
124,Continue,2022-02-28,2022-08-17,19.99
125,Continue,2023-05-19,2023-09-27,29.99
126,Continue,2023-12-18,2024-07-09,29.99
127,New,2023-02-19,2023-06-16,9.99
128,Back to us,2023-05-06,2024-01-27,9.99
129,Continue,2023-10-24,2024-06-25,19.99
130,Back to us,2022-02-27,2022-11-04,29.99
131,Continue,2022-04-01,2022-05-29,9.99
132,Continue,2022-06-10,2023-02-23,29.99
133,New,2023-10-09,2024-08-07,29.99
134,Back to us,2023-11-12,2024-07-06,29.99
135,Continue,2023-04-05,2024-03-21,19.99
136,Continue,2023-02-12,2023-11-13,9.99
137,Continue,2023-07-23,2023-09-06,19.99
138,Continue,2022-03-14,2022-12-11,9.99
139,Continue,2023-12-15,2024-04-24,19.99
140,Continue,2023-08-05,2024-07-16,19.99
141,Continue,2022-08-07,2023-01-06,9.99
142,Back to us,2022-10-20,2023-08-10,29.99
143,Continue,2023-12-20,2024-07-25,19.99
144,Continue,2023-08-12,2023-11-15,19.99
145,Continue,2023-08-25,2024-03-24,19.99
146,Continue,2022-03-12,2022-11-04,29.99
147,New,2022-12-14,2023-05-22,19.99
148,Continue,2022-09-23,2023-06-12,29.99
149,Continue,2023-01-25,2023-07-01,19.99
150,Continue,2023-07-06,2023-12-09,9.99
151,New,2022-11-17,2023-05-08,9.99
152,Continue,2023-11-20,2024-09-21,19.99
153,New,2023-08-05,2024-05-20,19.99
154,Continue,2022-04-12,2022-10-15,29.99
155,New,2022-01-28,2022-08-30,9.99
156,Continue,2023-08-19,2024-02-26,19.99
157,Continue,2022-11-26,2023-01-18,19.99
158,Continue,2022-06-01,2022-08-19,19.99
159,Continue,2023-01-06,2023-08-13,29.99
160,New,2023-04-06,2024-01-15,9.99
161,Continue,2022-06-17,2022-11-11,29.99
162,Continue,2022-03-20,2022-09-25,9.99
163,Continue,2022-01-04,2022-02-06,9.99
164,Continue,2023-02-23,2023-05-02,9.99
165,Continue,2023-06-15,2024-05-21,9.99
166,Continue,2022-09-27,2023-02-18,29.99
167,New,2023-09-19,2024-01-29,19.99
168,Back to us,2022-03-10,2022-05-28,9.99
169,Continue,2023-05-01,2023-08-17,9.99
170,New,2022-09-25,2023-07-10,29.99
171,Continue,2023-11-05,2024-03-13,9.99
172,New,2022-11-02,2023-07-27,29.99
173,New,2022-08-23,2022-10-04,9.99
174,New,2022-02-28,2023-02-22,19.99
175,Continue,2022-08-07,2023-07-13,9.99
176,Back to us,2022-09-22,2023-01-25,19.99
177,Back to us,2022-07-28,2023-03-29,9.99
178,Continue,2023-06-09,2023-07-09,29.99
179,Continue,2023-06-24,2024-05-08,9.99
180,New,2023-04-05,2023-06-09,19.99
181,New,2022-12-11,2023-07-01,9.99
182,Continue,2023-08-07,2023-10-20,29.99
183,Continue,2022-05-16,2022-10-19,9.99
184,Back to us,2022-03-26,2023-01-22,19.99
185,Continue,2023-04-24,2023-07-10,29.99
186,Continue,2023-07-22,2023-09-11,9.99
187,Continue,2022-07-21,2023-01-24,29.99
188,Continue,2022-04-11,2023-01-17,29.99
189,Continue,2023-10-14,2024-05-16,9.99
190,Back to us,2022-04-16,2022-11-06,29.99
191,Back to us,2023-04-28,2024-02-09,19.99
192,Back to us,2022-07-18,2022-09-15,19.99
193,New,2023-11-09,2024-09-17,29.99
194,Continue,2023-02-04,2023-07-30,9.99
195,Continue,2023-06-15,2023-08-23,29.99
196,Continue,2023-03-21,2023-12-22,29.99
197,Back to us,2023-07-10,2024-01-28,29.99
198,Back to us,2022-05-17,2023-03-09,19.99
199,New,2023-05-10,2024-04-24,29.99
200,Continue,2022-11-20,2023-10-16,19.99
201,Back to us,2022-08-26,2022-12-11,29.99
202,Continue,2022-11-09,2023-05-05,29.99
203,Back to us,2023-02-05,2023-07-09,9.99
204,New,2023-11-16,2024-03-03,29.99
205,New,2023-11-25,2024-03-11,19.99
206,New,2022-03-04,2022-12-29,29.99
207,Continue,2022-02-15,2022-07-10,29.99
208,Continue,2022-01-01,2022-03-19,19.99
209,Continue,2022-11-23,2023-10-05,19.99
210,Continue,2022-11-09,2023-10-23,29.99
211,Continue,2022-10-02,2023-07-06,29.99
212,Back to us,2022-06-26,2022-08-28,29.99
213,Continue,2023-11-03,2024-06-22,19.99
214,Back to us,2022-05-13,2022-10-17,9.99
215,New,2023-06-13,2024-03-19,9.99
216,Continue,2022-10-25,2023-03-08,29.99
217,Back to us,2022-05-25,2023-02-08,19.99
218,Back to us,2023-03-07,2023-11-09,9.99
219,Continue,2023-05-01,2023-07-17,9.99
220,Continue,2023-10-05,2024-02-20,29.99
221,Continue,2023-04-16,2023-09-12,9.99
222,Continue,2022-10-20,2022-12-22,9.99
223,Back to us,2023-03-04,2023-04-03,9.99
224,Continue,2023-04-13,2024-01-29,9.99
225,New,2023-01-19,2023-06-04,19.99
226,Continue,2023-09-09,2023-12-10,9.99
227,Continue,2023-11-15,2024-06-03,19.99
228,Back to us,2023-05-04,2024-03-11,29.99
229,Continue,2022-12-25,2023-12-09,19.99
230,Continue,2023-03-27,2023-06-06,29.99
231,Back to us,2023-12-12,2024-10-20,19.99
232,Back to us,2022-01-18,2022-03-03,9.99
233,Continue,2022-12-07,2023-04-28,9.99
234,New,2022-01-24,2022-11-08,19.99
235,Back to us,2022-03-22,2022-05-10,29.99
236,Continue,2023-01-20,2023-07-09,29.99
237,Back to us,2023-05-16,2024-03-28,29.99
238,Continue,2022-11-10,2023-06-05,19.99
239,Back to us,2022-12-06,2023-02-12,19.99
240,Continue,2022-03-18,2022-06-10,9.99
241,Continue,2022-08-04,2023-04-26,9.99
242,New,2023-06-25,2024-04-07,9.99
243,Continue,2022-11-10,2023-04-11,29.99
244,New,2022-01-16,2022-12-01,19.99
245,Continue,2022-11-04,2023-02-05,9.99
246,Back to us,2022-06-26,2023-05-22,9.99
247,Continue,2022-11-26,2023-04-19,9.99
248,New,2022-02-20,2022-04-03,29.99
249,New,2022-05-10,2022-11-11,9.99
250,Continue,2022-08-24,2022-12-18,19.99
251,Back to us,2023-06-22,2023-11-09,29.99
252,Continue,2022-09-12,2023-06-07,29.99
253,Continue,2022-10-07,2023-05-29,29.99
254,Continue,2023-07-20,2023-11-28,9.99
255,Continue,2022-09-13,2023-02-05,19.99
256,New,2022-08-07,2023-01-25,9.99
257,Continue,2022-04-24,2022-09-19,29.99
258,Continue,2022-08-12,2023-08-04,19.99
259,Continue,2022-01-12,2022-10-05,29.99
260,Back to us,2023-07-24,2023-10-23,9.99
261,Back to us,2022-03-27,2022-11-26,19.99
262,New,2023-09-14,2024-06-05,29.99
263,New,2022-12-05,2023-10-19,9.99
264,Continue,2022-05-01,2023-04-13,29.99
265,Continue,2023-02-01,2023-11-01,9.99
266,Continue,2022-09-16,2023-04-12,9.99
267,Back to us,2023-04-13,2023-11-10,29.99
268,Continue,2022-09-19,2023-06-07,29.99
269,New,2023-09-17,2023-12-07,9.99
270,Continue,2022-09-25,2023-06-12,29.99
271,Continue,2023-08-16,2023-12-16,19.99
272,Continue,2023-05-11,2024-04-19,29.99
273,Back to us,2022-11-12,2023-03-17,29.99
274,Continue,2022-02-19,2022-05-20,29.99
275,Back to us,2022-04-07,2023-02-15,9.99
276,Continue,2023-01-11,2023-05-01,29.99
277,Continue,2022-12-25,2023-10-03,9.99
278,Continue,2023-04-02,2023-08-23,19.99
279,Continue,2023-09-23,2024-07-22,19.99
280,Continue,2022-04-07,2022-12-11,19.99
281,Back to us,2023-09-07,2024-09-04,29.99
282,Continue,2022-03-12,2022-09-03,29.99
283,Continue,2023-12-23,2024-10-12,19.99
284,New,2022-11-18,2023-07-26,29.99
285,Back to us,2023-09-21,2023-11-29,19.99
286,New,2023-11-12,2024-09-19,9.99
287,Continue,2023-08-12,2023-12-11,19.99
288,Continue,2022-11-15,2023-05-26,19.99
289,Continue,2023-12-13,2024-10-25,19.99
290,Continue,2023-01-04,2023-08-12,9.99
291,Back to us,2022-04-16,2022-12-25,19.99
292,New,2022-12-13,2023-07-20,19.99
293,Continue,2023-04-25,2023-06-05,19.99
294,New,2023-09-23,2024-01-14,9.99
295,Continue,2022-10-19,2023-01-08,9.99
296,Back to us,2022-06-27,2023-05-09,19.99
297,New,2022-12-01,2023-01-23,19.99
298,Continue,2023-06-03,2023-11-11,19.99
299,Continue,2023-01-12,2023-04-11,29.99
300,Continue,2022-07-02,2022-11-06,9.99
301,Continue,2022-12-07,2023-11-17,9.99
302,Continue,2022-11-15,2022-12-20,29.99
303,Back to us,2023-11-20,2024-06-08,9.99
304,New,2022-07-09,2022-09-03,9.99
305,Continue,2022-02-14,2022-04-30,19.99
306,Back to us,2023-06-13,2023-12-09,19.99
307,New,2023-04-19,2023-11-21,9.99
308,New,2022-12-24,2023-09-19,29.99
309,Continue,2023-02-22,2023-05-28,19.99
310,New,2022-04-03,2022-06-15,29.99
311,Continue,2022-09-19,2023-09-10,9.99
312,New,2023-03-05,2023-06-21,9.99
313,New,2022-09-02,2022-11-15,29.99
314,New,2022-07-09,2023-06-20,29.99
315,Continue,2023-09-09,2023-11-15,19.99
316,Back to us,2023-10-17,2024-02-13,9.99
317,Continue,2022-05-19,2023-01-26,29.99
318,Continue,2023-02-18,2023-10-31,29.99
319,Continue,2022-02-03,2023-01-17,9.99
320,Continue,2022-11-11,2023-05-06,29.99
321,Back to us,2023-09-11,2023-12-14,29.99
322,New,2022-09-18,2023-01-12,29.99
323,New,2022-12-25,2023-05-19,9.99
324,Back to us,2023-10-10,2024-09-26,29.99
325,Back to us,2022-03-25,2022-11-13,9.99
326,Continue,2023-10-12,2024-07-25,9.99
327,Continue,2022-04-02,2022-09-17,29.99
328,Continue,2022-04-06,2023-03-30,29.99
329,Back to us,2022-01-20,2022-08-13,9.99
330,Back to us,2023-06-07,2023-08-27,19.99
331,New,2022-06-05,2023-04-22,19.99
332,Continue,2023-02-01,2023-05-13,19.99
333,New,2023-09-18,2024-06-16,9.99
334,Continue,2023-01-11,2023-03-28,19.99
335,Continue,2023-07-22,2023-12-06,29.99
336,Continue,2022-11-07,2023-03-25,29.99
337,Back to us,2022-06-24,2022-12-30,19.99
338,Back to us,2022-11-21,2023-04-26,29.99
339,Continue,2023-08-12,2023-11-06,19.99
340,Back to us,2022-07-02,2022-11-25,19.99
341,Back to us,2023-05-23,2024-02-01,29.99
342,New,2023-07-10,2023-08-09,19.99
343,Continue,2023-07-07,2023-12-09,29.99
344,New,2023-03-08,2023-10-17,29.99
345,Continue,2023-03-24,2023-06-28,29.99
346,New,2022-05-15,2023-01-03,29.99
347,Continue,2022-12-15,2023-09-19,29.99
348,Back to us,2023-07-09,2023-11-16,9.99
349,Continue,2022-01-11,2022-03-06,29.99
350,Continue,2023-07-20,2024-07-02,9.99
351,Continue,2023-04-25,2024-04-15,29.99
352,New,2022-10-27,2023-07-18,29.99
353,Continue,2022-10-04,2023-07-15,19.99
354,Continue,2023-09-16,2024-04-12,19.99
355,Continue,2022-12-16,2023-08-31,9.99
356,Continue,2023-11-07,2024-08-11,19.99
357,Back to us,2022-10-01,2022-12-10,29.99
358,New,2022-10-24,2023-02-22,9.99
359,Back to us,2023-09-23,2024-06-16,19.99
360,Continue,2022-11-28,2023-02-09,19.99
361,New,2023-03-10,2023-04-26,29.99
362,Continue,2022-12-04,2023-11-09,29.99
363,Continue,2023-03-09,2023-12-01,9.99
364,Continue,2023-07-05,2024-02-20,19.99
365,Continue,2023-06-07,2023-11-27,9.99
366,Continue,2022-07-15,2023-07-08,19.99
367,Continue,2022-07-02,2022-10-06,29.99
368,Back to us,2023-03-17,2023-09-15,29.99
369,Continue,2022-10-15,2023-09-08,9.99
370,Continue,2023-11-11,2024-07-04,29.99
371,Continue,2023-01-27,2023-03-09,9.99
372,Back to us,2022-11-03,2023-01-20,29.99
373,Continue,2022-02-28,2022-07-28,19.99
374,Continue,2022-09-24,2023-06-19,9.99
375,Back to us,2023-10-25,2024-02-25,9.99
376,New,2023-02-17,2023-06-18,9.99
377,Continue,2022-08-27,2023-05-01,19.99
378,Continue,2023-11-25,2024-08-18,29.99
379,Continue,2022-01-04,2022-02-07,9.99
380,Continue,2022-07-23,2023-06-15,29.99
381,Continue,2022-04-15,2023-03-15,19.99
382,Continue,2023-07-08,2023-12-02,9.99
383,Continue,2023-10-06,2024-09-30,9.99
384,Continue,2023-09-25,2024-01-09,19.99
385,Continue,2023-04-12,2023-12-28,29.99
386,Continue,2023-10-16,2024-07-15,19.99
387,Continue,2022-03-23,2023-03-20,9.99
388,New,2023-03-17,2023-06-11,29.99
389,Continue,2023-02-04,2023-06-07,29.99
390,Back to us,2023-10-17,2024-03-02,29.99
391,New,2023-04-03,2023-06-16,29.99
392,Continue,2022-09-11,2023-01-21,19.99
393,Back to us,2022-02-18,2022-05-19,19.99
394,Continue,2022-11-13,2023-06-21,29.99
395,New,2023-07-10,2024-06-10,19.99
396,Continue,2022-02-13,2022-06-14,9.99
397,Back to us,2023-02-01,2024-01-04,19.99
398,Back to us,2022-04-12,2022-07-31,19.99
399,New,2023-11-10,2024-08-23,9.99
400,New,2023-01-17,2023-11-23,29.99
401,Continue,2023-03-17,2023-06-08,19.99
402,Continue,2022-07-25,2022-09-17,29.99
403,New,2022-06-18,2022-09-11,19.99
404,Continue,2023-06-28,2024-01-03,19.99
405,Continue,2022-04-25,2022-11-07,29.99
406,Continue,2022-09-03,2023-04-17,29.99
407,Back to us,2023-06-20,2024-04-10,9.99
408,Back to us,2022-12-15,2023-04-17,29.99
409,Continue,2023-07-27,2024-06-03,9.99
410,New,2023-06-26,2024-05-12,29.99
411,New,2022-08-05,2023-02-10,19.99
412,Continue,2023-07-13,2024-03-03,29.99
413,New,2022-10-24,2023-08-23,19.99
414,Back to us,2022-04-10,2022-12-16,19.99
415,Back to us,2023-09-17,2023-11-01,29.99
416,Back to us,2022-11-15,2023-01-24,19.99
417,New,2023-08-03,2024-02-29,9.99
418,New,2023-08-08,2024-02-02,29.99
419,New,2023-12-14,2024-08-10,9.99
420,Continue,2022-09-23,2023-02-28,9.99
421,Continue,2023-01-10,2023-05-31,29.99
422,Continue,2022-05-07,2022-10-24,29.99
423,Continue,2022-05-07,2022-06-27,19.99
424,New,2022-04-24,2022-07-13,19.99
425,Continue,2023-05-07,2024-04-15,19.99
426,Continue,2022-12-17,2023-12-09,9.99
427,Continue,2023-12-27,2024-06-24,19.99
428,New,2023-12-05,2024-01-13,19.99
429,Continue,2023-12-12,2024-07-21,29.99
430,Back to us,2023-07-28,2024-03-23,9.99
431,Back to us,2022-06-05,2022-09-19,19.99
432,Continue,2023-06-05,2024-05-04,9.99
433,Back to us,2022-10-15,2023-07-29,19.99
434,Continue,2022-06-18,2023-01-23,29.99
435,Continue,2023-02-06,2023-06-08,9.99
436,Continue,2022-05-04,2023-04-12,29.99
437,Continue,2022-11-20,2023-05-26,29.99
438,Back to us,2023-04-23,2023-08-29,19.99
439,Continue,2023-12-03,2024-07-13,9.99
440,Continue,2022-04-23,2023-03-11,29.99
441,Back to us,2023-07-15,2024-05-12,9.99
442,Continue,2023-06-01,2024-02-06,29.99
443,Continue,2022-02-14,2022-07-22,9.99
444,New,2023-12-17,2024-06-11,19.99
445,Back to us,2022-05-02,2023-01-21,19.99
446,Back to us,2022-04-16,2023-02-19,29.99
447,Continue,2023-03-09,2023-07-22,29.99
448,Continue,2022-12-09,2023-06-03,29.99
449,Continue,2022-06-22,2023-04-07,19.99
450,Continue,2023-03-13,2023-07-30,19.99
451,Back to us,2023-01-01,2023-10-11,29.99
452,Continue,2022-02-27,2022-11-15,9.99
453,Back to us,2022-04-11,2023-01-10,9.99
454,New,2022-06-03,2022-11-07,29.99
455,Continue,2022-07-18,2022-11-15,9.99
456,Back to us,2022-07-18,2022-08-18,9.99
457,Continue,2022-10-06,2023-07-07,9.99
458,New,2023-02-26,2023-06-06,29.99
459,Continue,2022-04-27,2023-03-11,29.99
460,Continue,2023-08-25,2024-03-15,19.99
461,Back to us,2023-12-24,2024-04-17,19.99
462,Back to us,2022-06-11,2023-01-24,19.99
463,Back to us,2022-07-08,2022-08-20,9.99
464,Continue,2023-05-12,2023-10-15,19.99
465,Back to us,2022-02-24,2022-08-27,19.99
466,New,2022-09-12,2022-11-07,19.99
467,Continue,2022-03-13,2023-01-15,19.99
468,Back to us,2022-11-27,2023-03-14,9.99
469,Continue,2023-12-05,2024-02-25,9.99
470,Back to us,2022-04-17,2023-02-19,19.99
471,Continue,2022-06-24,2022-12-15,29.99
472,Continue,2023-09-06,2023-10-30,29.99
473,Continue,2023-05-16,2024-02-06,9.99
474,Continue,2022-01-18,2022-03-01,9.99
475,Continue,2023-05-22,2023-09-06,29.99
476,Continue,2023-09-12,2024-05-15,9.99
477,Continue,2022-12-15,2023-06-30,19.99
478,Continue,2023-09-24,2023-11-29,19.99
479,Continue,2023-03-19,2023-12-11,19.99
480,Continue,2022-01-01,2022-04-10,29.99
481,New,2023-10-21,2024-06-03,9.99
482,Back to us,2022-10-13,2023-03-11,19.99
483,New,2022-12-12,2023-10-12,9.99
484,Continue,2022-03-16,2022-05-20,9.99
485,New,2023-04-23,2023-05-24,29.99
486,Continue,2022-04-09,2023-01-14,19.99
487,Back to us,2022-11-04,2023-05-15,9.99
488,Continue,2022-12-26,2023-08-09,19.99
489,Continue,2023-03-13,2023-12-04,19.99
490,Continue,2023-01-22,2023-09-25,19.99
491,Back to us,2022-06-06,2022-09-11,19.99
492,Continue,2022-04-05,2022-06-25,29.99
493,Continue,2022-03-13,2022-12-08,9.99
494,Continue,2023-07-21,2024-03-24,19.99
495,Continue,2022-01-12,2022-10-21,29.99
496,Back to us,2023-07-19,2024-03-06,29.99
497,Continue,2023-09-09,2023-10-30,19.99
498,Continue,2022-03-03,2022-12-05,19.99
499,Back to us,2023-07-20,2023-09-03,19.99
500,Continue,2022-08-25,2023-07-08,19.99
501,Back to us,2022-12-09,2023-10-13,19.99
502,Back to us,2023-04-04,2023-09-30,19.99
503,Continue,2022-09-18,2022-12-21,29.99
504,Continue,2023-11-12,2024-08-01,29.99
505,Back to us,2023-03-26,2023-07-22,29.99
506,Continue,2022-07-22,2023-01-15,29.99
507,Continue,2023-01-18,2023-10-02,9.99
508,New,2022-06-22,2022-09-06,19.99
509,Back to us,2023-07-15,2024-06-19,29.99
510,Continue,2022-06-19,2022-11-19,9.99
511,New,2023-06-11,2024-05-05,9.99
512,Back to us,2023-03-07,2023-10-08,9.99
513,Continue,2022-04-14,2023-02-16,9.99
514,Continue,2023-05-21,2023-09-12,29.99
515,Continue,2022-12-18,2023-11-18,29.99
516,Continue,2022-06-20,2022-09-08,9.99
517,Back to us,2022-12-18,2023-01-26,29.99
518,Back to us,2022-03-26,2023-02-09,29.99
519,Continue,2023-06-04,2023-09-24,29.99
520,Continue,2022-05-04,2022-09-16,19.99
521,Continue,2023-01-09,2023-10-10,9.99
522,Back to us,2023-11-20,2024-06-06,19.99
523,New,2022-07-23,2022-11-05,29.99
524,Continue,2022-04-24,2022-08-19,19.99
525,New,2022-07-06,2022-12-26,19.99
526,Back to us,2022-07-15,2023-04-12,19.99
527,Continue,2023-06-14,2023-07-19,29.99
528,Continue,2022-07-20,2023-06-04,9.99
529,New,2023-02-27,2023-09-10,19.99
530,Continue,2023-09-05,2024-08-30,29.99
531,New,2023-03-15,2023-11-14,9.99
532,Back to us,2023-06-21,2023-12-24,19.99
533,Continue,2022-02-26,2022-04-23,19.99
534,Back to us,2022-11-26,2023-01-15,19.99
535,Back to us,2022-04-07,2023-01-13,9.99
536,New,2023-04-05,2023-12-15,9.99
537,Continue,2022-11-24,2023-02-07,19.99
538,Continue,2023-07-06,2023-11-22,29.99
539,Continue,2023-06-20,2023-10-06,9.99
540,Continue,2023-12-20,2024-11-11,19.99
541,New,2023-11-11,2024-04-21,29.99
542,Continue,2022-01-10,2022-07-21,9.99
543,Continue,2022-11-10,2023-06-27,9.99
544,Continue,2023-10-17,2024-04-09,29.99
545,Continue,2023-06-06,2023-11-17,9.99
546,New,2023-12-07,2024-05-07,9.99
547,Continue,2022-08-24,2023-02-18,19.99
548,Continue,2022-06-03,2023-01-18,29.99
549,Continue,2023-07-28,2024-05-25,29.99
550,Back to us,2023-04-28,2024-04-22,9.99
551,Continue,2023-09-08,2024-07-19,9.99
552,New,2022-08-23,2023-04-28,9.99
553,Continue,2023-02-25,2023-05-07,29.99
554,Continue,2023-07-12,2024-07-09,29.99
555,Continue,2023-07-18,2023-09-08,29.99
556,New,2022-04-22,2023-02-18,19.99
557,Back to us,2022-06-24,2023-03-30,29.99
558,Continue,2023-11-03,2024-08-20,19.99
559,Continue,2023-02-17,2023-07-06,29.99
560,Continue,2023-11-28,2024-03-30,29.99
561,Continue,2022-03-23,2022-05-18,19.99
562,New,2022-12-18,2023-02-22,19.99
563,Continue,2023-09-25,2024-02-03,29.99
564,Continue,2022-06-03,2022-07-15,9.99
565,Continue,2023-11-09,2024-01-16,29.99
566,Continue,2022-02-08,2022-07-03,29.99
567,Continue,2022-06-10,2023-05-17,29.99
568,Continue,2023-11-28,2024-07-21,29.99
569,Continue,2022-08-19,2023-08-09,19.99
570,Continue,2022-08-02,2023-05-10,9.99
571,Continue,2022-05-14,2022-12-20,29.99
572,New,2023-07-09,2023-12-27,29.99
573,New,2022-02-21,2022-09-25,19.99
574,Back to us,2022-06-10,2022-08-09,29.99
575,Continue,2023-08-28,2024-05-10,29.99
576,Back to us,2023-10-21,2024-03-23,19.99
577,New,2023-03-16,2023-12-08,19.99
578,Continue,2023-02-25,2023-07-25,9.99
579,Continue,2023-08-11,2024-08-03,29.99
580,Continue,2023-02-06,2023-05-09,19.99
581,New,2023-03-06,2023-06-08,9.99
582,Continue,2023-07-12,2024-06-28,29.99
583,Continue,2022-08-01,2023-04-15,9.99
584,New,2023-12-22,2024-09-21,9.99
